"incident_date","State","city_county","Address","no_killed","no_injured","moreInfo","formattedDate","casualties","GoogleAdd","dayofweek","lat","lng","accuracy"
"December 29, 2014","Louisiana","New Orleans","Poydras and Bolivar","0","4","<a href=""http://www.gunviolencearchive.org/incident/271363"" target=""_blank"">More Information</a>",2014-12-29,4,"Louisiana, New Orleans, Poydras and Bolivar","Mon",29.9542981,-90.0839102,"intersection"
"January 1, 2015","Tennessee","Memphis","Interstate 240 and Poplar Avenue","0","5","<a href=""http://www.gunviolencearchive.org/incident/272016"" target=""_blank"">More Information</a>",2015-01-01,5,"Tennessee, Memphis, Interstate 240 and Poplar Avenue","Thurs",35.1025008,-89.8698863,"intersection"
"January 2, 2015","Georgia","Savannah","500 block of W. 54th Street","1","4","<a href=""http://www.gunviolencearchive.org/incident/273965"" target=""_blank"">More Information</a>",2015-01-02,5,"Georgia, Savannah, 500 block of W. 54th Street","Fri",32.0454602,-81.109202,"street_address"
"January 4, 2015","Virginia","Roanoke","3634 Shenandoah Ave NW","2","4","<a href=""http://www.gunviolencearchive.org/incident/273535"" target=""_blank"">More Information</a>",2015-01-04,6,"Virginia, Roanoke, 3634 Shenandoah Ave NW","Sun",37.2809542,-79.9984851,"street_address"
"January 4, 2015","Texas","Dallas","2000 block of Ben Hur St.","3","1","<a href=""http://www.gunviolencearchive.org/incident/273397"" target=""_blank"">More Information</a>",2015-01-04,4,"Texas, Dallas, 2000 block of Ben Hur St.","Sun",32.6798829,-96.6110675,"street_address"
"January 6, 2015","Florida","Miami","1300 block of NW 62nd Street","1","3","<a href=""http://www.gunviolencearchive.org/incident/274867"" target=""_blank"">More Information</a>",2015-01-06,4,"Florida, Miami, 1300 block of NW 62nd Street","Tues",25.831511,-80.218799,"street_address"
"January 7, 2015","Tennessee","Chattanooga","773 West Main Street","1","3","<a href=""http://www.gunviolencearchive.org/incident/275064"" target=""_blank"">More Information</a>",2015-01-07,4,"Tennessee, Chattanooga, 773 West Main Street","Wed",35.0403524,-85.318622,"street_address"
"January 8, 2015","Massachusetts","Boston","104 Harrishof Street","1","3","<a href=""http://www.gunviolencearchive.org/incident/275986"" target=""_blank"">More Information</a>",2015-01-08,4,"Massachusetts, Boston, 104 Harrishof Street","Thurs",42.3166904,-71.088738,"street_address"
"January 9, 2015","California","San Francisco","Laguna and Page streets","4","0","<a href=""http://www.gunviolencearchive.org/incident/276459"" target=""_blank"">More Information</a>",2015-01-09,4,"California, San Francisco, Laguna and Page streets","Fri",37.7736814,-122.42573,"intersection"
"January 10, 2015","Kansas","Wichita","4859 E Harry Street","2","2","<a href=""http://www.gunviolencearchive.org/incident/276536"" target=""_blank"">More Information</a>",2015-01-10,4,"Kansas, Wichita, 4859 E Harry Street","Sat",37.6643118,-97.2786749,"street_address"
"January 11, 2015","North Carolina","Hope Mills","1900 block of Gumberry Road","2","5","<a href=""http://www.gunviolencearchive.org/incident/276845"" target=""_blank"">More Information</a>",2015-01-11,7,"North Carolina, Hope Mills, 1900 block of Gumberry Road","Sun",34.9357288,-78.8653402,"street_address"
"January 11, 2015","Florida","Lakeland","7665 Chase Road","1","3","<a href=""http://www.gunviolencearchive.org/incident/277480"" target=""_blank"">More Information</a>",2015-01-11,4,"Florida, Lakeland, 7665 Chase Road","Sun",28.1424745,-81.9817124,"street_address"
"January 11, 2015","California","San Jose","3840 Monterey Hwy","0","5","<a href=""http://www.gunviolencearchive.org/incident/276766"" target=""_blank"">More Information</a>",2015-01-11,5,"California, San Jose, 3840 Monterey Hwy","Sun",37.2827454,-121.8389512,"street_address"
